CUSTOMER_ID,REGION,AGE,PARENT,OCCUPATION,MOBILE_APP_USER,CARD_COLOUR,CREDIT_LIMIT,SPEND_M1_TRAVEL,SPEND_M1_GROCERY,SPEND_M1_OTHER,SPEND_M2_TRAVEL,SPEND_M2_GROCERY,SPEND_M2_OTHER,SPEND_M3_TOTAL
35,Scotland,54,0,Retired,1,Black,250,11.22,25.66,6.43,2.77,6.33,14.82,22.79
36,England,51,0,Employed,1,Red,1000,171.67,114.87,28.3,121.87,173.25,16.16,355.42
37,England,37,0,Employed,0,Red,500,1.17,1.04,0.99,34.22,30.27,28.82,82.52
38,England,61,0,Employed,0,Black,500,94.96,12.92,109.39,100.45,28.98,70.6,170.45
39,England,23,0,Unemployed,1,Red,250,4.04,11.69,4.13,4.95,14.32,5.06,17.18
40,England,71,0,Employed,1,Red,500,66.92,0,186.58,74.8,14.28,176.79,179.3
41,England,48,1,Employed,0,Black,1000,24.09,249.52,54.85,22.22,195.27,8.4,333.6
42,England,69,0,Self-employed,0,Black,500,1.52,1.38,1.49,33.83,30.65,33.05,33.53
44,England,43,0,Employed,1,Black,250,0,16.68,12.37,0,13.75,49.5,96.99
45,England,62,0,Retired,0,Red,250,28.38,21.9,25.79,0,34.99,19.01,105.84
46,England,52,0,Unemployed,0,Blue,250,6.34,16.5,6.13,10.55,27.43,10.19,26.61
47,England,43,0,Employed,1,Black,250,0,7.26,8.63,0,21.04,45.32,41.47
48,England,65,0,Employed,0,Red,500,42.35,39.03,68.57,0,72.78,35.2,174.05
49,England,26,0,Student,1,Blue,500,16.1,19.99,17.66,15.56,19.32,17.06,61.15
50,England,34,1,Employed,1,Black,250,57.39,43.93,31.68,0,41.47,9.5,61.64
51,England,44,0,Student,1,Red,500,27.52,37.19,11.92,32.7,44.18,14.16,106.13
52,England,43,0,Employed,1,Black,250,2.6,1,25.77,0,3.35,16.72,37.83
53,England,53,0,Unemployed,0,Black,1000,0,64.33,0,0,13.73,0,34.26
54,Wales,44,1,Employed,1,Blue,1000,0,168.93,48.08,247.63,166.47,195.85,322.81
55,England,47,0,Self-employed,0,Red,250,10.16,17.46,6.11,3.89,6.68,2.34,45.52
56,England,38,1,Employed,1,Black,1000,4.56,0,12.9,0,146.4,76.39,168.97
57,England,59,1,Employed,0,Black,250,19.78,53.44,0,49.82,56.24,0,116.03
58,England,40,0,Self-employed,1,Black,250,47.39,7.08,34.84,20.25,23.48,31.18,77.89
59,England,50,1,Employed,0,Red,1000,100.05,297.36,182.62,45.44,307.66,115.61,317.77
60,England,75,0,Student,1,Black,1000,272.99,0,220.43,123.56,128.11,116.42,502.4
61,England,43,0,Self-employed,1,Blue,500,36.51,63.12,47.32,38.78,67.05,50.27,119.42
62,England,32,0,Self-employed,1,Red,250,6.29,15.85,4.45,0,0,0,46.1
63,Wales,56,0,Employed,0,Blue,500,59.06,24.65,66.44,70.25,46.8,124.85,236.78
64,England,46,0,Unemployed,0,Blue,500,22.08,33.09,15.18,24.34,36.47,16.73,60.58
65,England,22,0,Unemployed,1,Blue,250,9.96,19.33,7.3,8.37,38.86,6.13,27.63
66,Scotland,49,0,Self-employed,0,Black,250,0,13.71,0,0,13.17,0,5.48
67,England,46,1,Unemployed,1,Black,250,12.75,45.95,34.47,25.19,45.21,23.58,76.9
68,England,82,0,Retired,0,Black,500,10.77,15.4,10.83,14.39,20.58,14.48,19.13
69,England,35,1,Student,1,Red,1000,268.33,0,82.8,279.53,201.44,1.29,496.53
70,England,72,0,Retired,1,Red,1000,97.97,36.94,229.32,102.71,39.39,264.83,376.14
71,England,56,0,Retired,1,Red,250,10.17,21.46,8.3,3.23,6.82,2.64,26.59
72,England,49,1,Self-employed,0,Black,250,0,65.11,17.68,0,63.94,28.97,85.35
73,England,76,0,Retired,1,Blue,250,8.09,22.51,6.62,5.66,15.75,4.63,24.92
74,England,44,1,Employed,1,Red,250,51.34,62.39,0.94,40.1,63.39,11.79,106.48
75,England,51,0,Employed,0,Blue,250,0,0,0,5.17,21.44,7.17,44.82
76,England,44,1,Employed,1,Black,1000,290.76,156.74,0,134.41,124.22,0,228.94
77,Wales,29,0,Employed,1,Red,500,0,0,0,50.15,53.8,52.85,48.88
78,England,44,1,Self-employed,1,Black,250,0.99,2.36,0.62,16.45,39.17,10.37,3.75
79,England,66,1,Retired,0,Red,1000,29.54,14.26,16.17,32.18,15.53,17.61,97.26
80,England,55,0,Retired,1,Blue,250,6.47,16.42,5.58,7.47,18.96,6.44,26.14
81,England,49,0,Unemployed,0,Blue,1000,72.2,42.8,33.85,55.48,32.89,26.01,101.96
82,England,46,0,Student,1,Red,250,35.61,0,0,56.65,48.8,30.99,100.9
83,England,65,0,Student,0,Black,250,38.12,9.95,53.58,49.69,15.74,22.22,97.56
84,England,31,1,Employed,1,Red,500,43.23,102.81,15.2,110.74,116.67,0,145.84
85,England,49,1,Student,1,Red,250,0,0,3.58,0,62.21,36.92,52.31
86,Scotland,73,1,Retired,0,Red,250,6.26,14.13,4.42,6.03,13.61,4.26,40.15
87,Wales,32,0,Student,1,Black,250,8.39,19.52,8.87,7.31,17.01,7.73,20.51
88,England,49,1,Student,1,Red,1000,294.88,279.67,80.57,177.02,259.97,34.49,428
89,England,64,0,Employed,1,Red,250,54.98,16.89,51.31,53.21,31.56,66.59,69.6
90,England,42,0,Unemployed,1,Blue,500,16.7,35.86,27.41,10.89,23.38,17.87,65.3
91,England,51,0,Employed,1,Red,1000,74.24,109.8,176.49,79.43,0,194.98,312.4
92,Northern Ireland,66,0,Retired,1,Blue,250,0,0,0,0,0,0,0
93,England,49,0,Employed,1,Red,500,139.02,31.72,79.52,101.8,44.48,15.3,216.18
94,England,28,0,Student,0,Blue,500,22.4,39.9,24.78,15.72,28,17.39,77.04
95,England,43,0,Student,0,Red,250,32.26,8.54,29.17,0,13.04,19.63,25.46
96,England,30,0,Self-employed,1,Red,250,7.01,16.01,10.27,3.56,8.14,5.22,25.07
97,Scotland,42,0,Employed,1,Red,250,54.83,15.86,9.35,62.62,25.45,13.7,62.8
98,England,51,0,Employed,1,Red,250,35.4,0,62.49,45.16,0,0,55.9
99,England,58,1,Retired,0,Red,500,27.92,64.24,47.86,23.92,33.63,40.99,67.26
100,England,44,0,Unemployed,1,Black,500,0,58.02,0,0,16.05,0,25.9
101,England,55,0,Retired,1,Red,250,9.56,29.44,8.38,8.09,24.9,7.09,26.76
102,England,33,0,Employed,1,Red,500,19.6,26.5,19.37,29.46,39.82,29.11,0
103,England,60,0,Employed,0,Black,500,129.83,9.24,0,0,19.26,0,31.34
104,Scotland,46,0,Unemployed,1,Black,500,92.77,41.59,62.53,30.63,33.5,77.62,148.82
105,England,40,0,Self-employed,0,Blue,250,7.11,25.32,6.45,1.76,6.27,1.6,43.06
106,England,49,1,Employed,1,Red,1000,103.46,207.62,0,149.21,181.27,138.1,602.47
107,England,28,1,Student,1,Red,250,0,15.52,0,0,12.55,0,21.34
108,England,50,1,Unemployed,0,Blue,250,14.03,27.15,7.13,12.72,24.61,6.47,36.02
109,Northern Ireland,31,0,Unemployed,1,Blue,500,20.48,29.46,17.82,26.73,16.7,10.1,64.07
110,England,55,1,Student,1,Red,500,143.4,126.5,87.85,122.51,125.35,84.65,258.81
111,England,40,1,Student,1,Red,500,93.91,134,0,44.13,118.61,0,199.39
112,Scotland,39,0,Employed,1,Black,250,0,16.59,18.61,0,22.22,18.76,33.31
113,England,22,0,Student,1,Red,500,8.15,31.3,8.55,12.15,19.8,12.75,58.32
114,England,37,0,Student,0,Red,250,9.13,26.62,4.93,3.03,8.83,1.63,33.78
115,England,20,0,Employed,1,Black,250,3.26,7.9,1.93,11.96,29,7.08,35.04
116,England,48,1,Employed,0,Red,250,0,66.19,16.99,0,64.95,22.57,115.61
117,England,37,1,Employed,1,Red,250,3.36,39.07,13.58,0,46.79,15.86,87.81
118,England,44,0,Employed,1,Red,1000,0,54.72,176.03,0,81.26,0,110.64
120,England,36,1,Employed,1,Red,1000,164.92,219.6,115.73,60.69,170.37,125.93,426.99
121,England,35,1,Employed,1,Red,1000,151.78,238.37,10.14,164.73,232.02,104.28,399.8
122,England,47,1,Employed,1,Red,1000,0,276.18,26.38,0,215.3,99.6,471.42
123,England,66,0,Employed,1,Black,500,15.82,35.63,0,5.45,59.57,51.91,242.83
124,Northern Ireland,39,1,Employed,1,Red,500,128.77,101.47,17.43,129.35,105.18,43.24,197.79
125,England,60,0,Unemployed,1,Black,1000,0,70.81,116.14,0,65.78,190.66,281.47
126,England,34,1,Employed,1,Red,250,22.41,76.17,23.72,14.17,62.86,0,99.02
127,England,41,1,Employed,0,Black,250,22.01,54.62,16.5,50.44,45.38,5.88,53.89
128,England,62,1,Retired,0,Blue,500,11.73,15.09,10.63,25.69,64.06,23.3,92.3
129,Northern Ireland,56,0,Student,1,Black,250,44.2,8.27,14.32,38.36,5.99,20.16,93.9
130,Wales,59,0,Employed,1,Blue,1000,222.31,24.15,143.48,245.29,0,134.8,302.23
131,England,50,0,Employed,1,Red,250,0,4.19,63.36,46.84,16.2,40.32,74.6
132,Scotland,42,1,Employed,1,Red,1000,224.3,265.2,166.37,186.16,199.68,22.27,408.62
133,England,41,0,Employed,1,Red,250,73.44,19.61,13.29,23.64,0,36.15,113.63
134,England,18,0,Employed,1,Red,500,94.6,73.1,0,74.83,97.56,0,146.23
135,England,42,0,Employed,1,Black,1000,0,3.57,138.98,0,64.04,42.24,319.75
136,England,45,0,Employed,1,Red,500,60.35,71.43,57.9,85.33,75.86,64.15,224.18
137,England,56,0,Retired,0,Blue,500,42.47,47.22,38.24,23.94,26.62,21.56,98.97
138,England,54,0,Retired,0,Red,1000,83.98,40.62,35.81,141.22,68.3,60.22,12.09
139,England,23,0,Unemployed,1,Black,500,6.99,14.19,11.89,0,0,0,67.92
140,England,31,0,Student,1,Red,1000,97.84,42.89,54.73,45.82,20.08,25.63,132.87
141,England,43,0,Employed,1,Red,250,18.53,0,15.47,55.88,7.06,40.32,105.33
142,England,55,1,Employed,1,Red,1000,102.78,236.05,155.34,30.91,174.65,228.64,352.37
143,England,47,0,Unemployed,0,Red,1000,160.71,133.93,103.65,84.44,133.67,119.23,281.11
144,England,41,0,Unemployed,1,Black,250,0.75,1.33,0,20.46,19.51,0,0.55
145,England,41,0,Employed,0,Red,500,28.05,20.14,0,109.52,47.54,0,175.47
146,England,59,0,Retired,1,Blue,250,16.97,27.91,14.97,7.67,12.61,6.76,37.06
147,England,70,0,Employed,0,Red,1000,191.91,16.37,350.63,243.17,0,98.02,330.11
148,Scotland,55,1,Employed,1,Red,250,7.65,0,7.34,18.65,59.35,64.99,122.41
149,Wales,37,0,Student,0,Blue,500,26.15,34.05,18.5,24.67,32.13,17.46,43.09
150,Scotland,35,1,Employed,1,Black,1000,269.59,257.04,86.5,229.16,174.07,80.44,282.02
151,England,47,1,Student,1,Red,1000,38.73,235.91,29.69,18.92,253.79,38.16,365.74
152,England,39,0,Employed,0,Black,250,0,0,17.46,60.05,0,19.07,39.88
153,Northern Ireland,29,1,Employed,1,Black,250,0,53.64,3.07,0,39.06,5.19,46.87
154,England,26,1,Employed,1,Red,250,20.24,58.81,10.08,0,48.19,0,37.09
155,England,52,1,Employed,1,Black,500,126.83,93.46,12.44,102.21,101.73,87.68,232.83
156,Wales,35,0,Self-employed,1,Black,250,10.67,18.73,6.41,5.45,9.56,3.27,3.24
157,England,42,0,Self-employed,1,Black,250,1.64,6.2,1.7,1.23,4.67,1.28,50.94
158,England,61,0,Employed,0,Red,500,39.51,40.92,103.16,89.92,0,162.29,130.56
159,England,53,0,Retired,1,Red,500,22.14,39.21,16.51,48.04,85.09,31.88,73.96
160,England,31,1,Employed,1,Red,500,97.87,87.77,27.85,52.01,73.78,51.48,121.74
161,England,45,1,Employed,1,Red,500,35.94,80.96,57.83,14.18,70.38,26.35,192.06
162,England,23,0,Self-employed,1,Red,250,9.15,18.73,3.27,11.66,23.86,4.17,35.61
164,England,50,0,Self-employed,1,Red,250,0.68,2.17,0.71,11.38,36.34,11.88,17.26
165,England,60,0,Employed,1,Red,1000,0,15.82,143.12,25.57,79.28,21.56,103.18
166,Wales,33,1,Employed,1,Blue,1000,280.8,225.45,16.96,126.78,194.92,76.38,146.58
168,England,18,0,Student,1,Red,250,26.89,29.95,0,19.59,41.77,0,35.41
169,England,52,0,Employed,1,Red,250,0,36.75,31.78,58.98,42.14,50.61,63.52
170,England,46,1,Employed,0,Red,250,22.98,52.21,8.74,16.74,59.26,12.05,55.22
171,Scotland,36,1,Employed,1,Red,500,24.94,83.44,68.57,31.51,74.96,30,150.88
172,Northern Ireland,47,0,Employed,1,Black,250,18.21,32,27.49,51.85,38.44,7.94,111.31
173,England,53,0,Employed,1,Red,500,24.64,16.99,132.65,22.69,38.2,66.86,154.13
174,England,46,1,Student,1,Red,1000,63.58,248.4,63.31,140.8,237.28,146.07,246.1
175,Scotland,44,0,Self-employed,0,Black,1000,54.29,32.47,20.52,13.32,7.97,5.03,120.2
176,England,59,0,Employed,1,Black,500,5.17,14.92,162.36,0,42.01,150.11,187.57
177,England,45,0,Self-employed,1,Red,500,0,24.04,0,0,27.13,0,4.96
178,England,49,0,Unemployed,1,Black,250,5.07,9.9,3.57,6.08,11.89,4.29,22.47
179,Wales,57,0,Student,1,Blue,500,71.89,48.49,13.98,70.01,59.37,60.55,162.94
180,England,30,1,Employed,1,Black,250,42.35,54.13,20.65,35.97,41.14,15.42,54.95
181,England,78,0,Self-employed,0,Blue,1000,57.27,35.86,69.17,71.8,44.95,43.58,75.93
182,England,40,0,Student,1,Black,500,89.52,41.21,67.02,96.21,31.1,21.3,139.09
183,Scotland,47,0,Employed,1,Red,250,0,6.21,52.32,52.67,25.34,11.8,79.16
184,England,41,0,Employed,0,Red,1000,167.52,0,55.42,252.32,0,0,380.9
185,England,33,1,Employed,1,Red,250,20.77,52.33,13.41,0,55.52,23.41,48.59
186,England,73,0,Self-employed,0,Blue,250,0,0,0,0,0,0,0
187,England,49,0,Employed,1,Black,500,0,4.33,122.76,81.41,7.51,25.42,177.72
188,Scotland,71,0,Employed,0,Red,500,140.5,61.63,22.01,0,40.27,107.2,158.61
189,England,74,0,Self-employed,1,Black,250,0,0,0,7.34,23.41,6.27,14.7
190,England,69,0,Employed,1,Red,500,101.63,53.84,93.46,62.23,41.48,137.84,234.03
191,England,54,0,Unemployed,0,Red,250,4.22,13.17,17.86,1.35,4.22,1.49,23.81
192,Northern Ireland,21,0,Student,1,Red,250,0,15,0.96,0,25.95,2.98,27.75
193,Wales,53,0,Student,1,Blue,1000,166.16,119.61,131.53,180.06,137.94,101.63,450.36
194,England,50,0,Employed,1,Black,500,0,62.7,77.97,0,59.62,11.92,248.37
195,England,71,0,Retired,0,Red,250,73.41,7.56,32.88,45.54,21.88,41.52,68.6
196,England,56,1,Employed,1,Red,1000,0,209.06,248.88,0,183.43,103.05,431.42
197,England,52,0,Unemployed,0,Red,500,57.63,27.21,74.51,27.99,61.65,66.44,135.12
198,Northern Ireland,61,0,Retired,0,Red,500,20.22,23.26,16.86,29.06,33.43,24.23,24.36
199,England,43,0,Employed,1,Red,250,7.83,19.31,9.52,7.81,19.26,9.49,26.3
200,England,21,0,Unemployed,1,Red,500,18.55,27.73,21.02,21.2,23.71,17.98,60.54
201,England,38,0,Unemployed,1,Blue,250,4.38,10.6,2.09,16.55,40.01,12.51,2.2
202,England,51,0,Employed,1,Red,500,52.48,48.34,99.52,66.04,35.76,96.42,237.21
203,Scotland,32,0,Self-employed,1,Black,1000,44.94,28.86,26.8,102.6,48.22,44.77,177.51
204,England,43,0,Employed,1,Black,250,0,19.56,35.67,23.25,30.93,16.99,42.64
205,England,53,0,Unemployed,1,Red,1000,292.56,22.82,154.49,98.45,30.24,24.42,82.01
206,England,32,1,Self-employed,1,Black,250,10.05,69.81,6.35,50.14,67.5,23.66,105.05
207,England,47,1,Self-employed,1,Blue,250,4.86,9.42,1.99,12.58,24.36,5.15,24.07
208,England,45,1,Employed,1,Red,250,0,52.3,16.34,0,49.77,23.29,90.38
209,Northern Ireland,37,1,Student,1,Black,1000,158.81,222.26,24.71,84.13,204.69,61.21,369.39
210,England,47,1,Employed,0,Red,1000,120.59,238.41,67.91,40.15,238.96,169.41,257
211,Scotland,48,0,Student,0,Black,250,0,19.75,0.88,0,32.6,28.97,36.52
212,England,83,0,Student,1,Black,500,78.26,77.14,0,122.99,95.32,0,151.77
213,England,36,1,Employed,1,Red,250,28.26,51.48,14.2,38.88,52.04,31.39,101.01
214,England,57,0,Student,1,Black,250,0,0.18,45.69,0,0,0.98,72.1
215,England,61,0,Unemployed,0,Red,500,23.91,38.75,23.3,15.21,24.64,14.82,88.69
216,England,36,0,Unemployed,1,Black,500,50.15,49.6,40.96,0,0,0,85.74
217,England,36,0,Student,1,Blue,250,9.67,18.31,5.34,8.15,15.42,4.5,45.87
218,Wales,50,1,Employed,1,Blue,250,22.62,38.04,60.79,45.76,32.65,11.39,88.11
219,England,36,0,Student,0,Red,250,66.28,14.86,20.65,42.02,25.37,19.42,77
220,England,30,0,Self-employed,1,Black,1000,41.55,20.17,71.54,50.67,24.59,26.8,186.06
221,England,41,0,Employed,1,Red,500,130.25,14.29,68.15,124.32,45.5,86.12,154.15
222,Scotland,32,0,Self-employed,0,Black,250,5.29,10.9,2.9,8.27,17.04,4.53,11.47
223,England,29,1,Employed,1,Red,1000,206.04,259.32,54.33,234.73,274.12,14.24,559.4
224,England,47,1,Unemployed,0,Blue,250,14.03,21.65,5.42,7.79,12.02,3.01,18.89
225,Scotland,40,1,Employed,1,Black,500,30.5,129.47,8.82,0,96.68,22.85,143.61
226,England,33,0,Employed,1,Black,1000,80.65,62.42,53.75,0,0,0,178
227,England,65,1,Employed,1,Red,250,0,66.86,12.69,0,51.13,11.88,58.44
228,England,54,0,Retired,0,Red,500,12.11,17.3,12.12,24.58,35.11,24.59,6.94
229,England,45,0,Employed,1,Red,1000,81.25,68.16,130.54,134.44,119.12,128.13,259.66
230,England,74,0,Student,1,Red,250,34.92,36.37,0,38.39,43.52,43.64,113.68
231,England,31,1,Unemployed,1,Red,500,129.23,112.27,11.47,141.42,0,29.27,115.27
232,England,61,0,Retired,1,Red,250,25.48,23.08,21.36,8.15,31.26,70.5,70.2
233,England,43,1,Employed,1,Red,250,1.21,74.89,44.23,10.93,55.33,35.09,120.74
234,England,36,0,Self-employed,1,Black,250,10.98,19.23,8.76,6.78,11.88,5.41,6.31
235,Scotland,25,0,Student,1,Black,250,4.11,10.85,3.42,1.81,4.78,1.51,33.39
236,Wales,19,0,Student,1,Blue,500,8.49,10.01,11.52,23.72,27.95,32.18,63.2
237,England,80,0,Retired,0,Black,250,0,0,0,11.56,20.11,18.59,3.5
238,England,51,0,Retired,0,Black,250,8.89,15.61,5.85,6.14,10.79,4.04,15.01
239,England,21,0,Unemployed,1,Black,500,5.24,6.42,41.04,20.87,25.59,24.99,50.36
240,England,30,1,Student,1,Black,500,0,149,4.33,0,152.95,15.78,263.43
241,England,40,1,Employed,1,Red,250,53.04,43.98,42.8,43,36.69,40.09,52.07
242,England,32,1,Employed,1,Black,1000,286.89,196.89,0,164.34,212.56,0,356.14
243,England,49,0,Employed,0,Black,250,8.75,28.31,15.06,14.09,33.57,7.06,72
244,England,67,0,Employed,1,Red,250,54.94,8.65,55.34,40.12,24.87,42.11,165.98
245,England,49,0,Employed,1,Black,500,46.43,40.3,104.79,0,0,8.83,173.38
246,England,48,0,Self-employed,0,Black,250,35.65,16.71,29.01,57.43,28.93,44.07,124.26
247,England,57,1,Student,0,Red,500,65.14,133.67,72.75,107.02,130.38,6.27,193.48
248,England,42,0,Student,0,Blue,250,8.35,26.14,10.96,10.18,31.86,13.35,34.59
249,England,59,0,Employed,0,Red,500,111.62,70.41,101.95,94.04,65.98,14.97,200.18
250,England,54,0,Retired,0,Blue,250,5.7,13.23,7.66,5.23,12.15,7.03,47.52
251,England,54,1,Retired,0,Blue,500,14.41,29.33,16.4,2.81,5.72,3.2,30.78
252,Scotland,71,0,Employed,1,Red,500,74.82,41.89,52.44,29.09,49.16,183.27,97.03
253,England,40,1,Student,1,Red,250,25.61,52.48,0,13.88,38.7,3.65,88.92
254,England,40,1,Employed,1,Red,250,0,71.23,21.27,0,70.07,1.7,105.71
256,Wales,41,1,Unemployed,1,Blue,1000,0,160.22,79.68,0,182.24,98.85,409.76
257,Wales,53,0,Employed,1,Blue,1000,171.26,56.46,51.99,150.48,49.61,45.68,139.08
258,England,64,0,Student,1,Black,250,74.04,0.04,12.79,53.92,19.03,26.36,66.94
259,England,35,1,Employed,1,Red,500,11.05,0,26.61,56.21,0,16.4,104.04
260,England,50,1,Student,1,Red,1000,48.49,204.8,48.53,45.31,156.26,169.14,383.86
261,England,66,0,Unemployed,0,Red,1000,162.71,99.45,14.5,0,123.51,187.82,297.56
262,England,51,0,Student,1,Red,250,72.53,8.1,34.3,39.07,12.79,42.3,75.13
263,Scotland,46,0,Student,1,Red,250,8.05,10.82,3.19,11.05,14.85,9.12,30.65
264,England,70,1,Retired,0,Black,250,0,0,0,11.6,29.47,8.08,12.6
265,Scotland,56,1,Employed,1,Red,250,42.82,57.3,38.05,32.55,54.8,15.78,104.41
266,Northern Ireland,68,0,Retired,0,Blue,500,34.23,41.38,29.56,19.61,23.71,16.93,46.49
267,England,64,0,Retired,1,Red,1000,92.39,96.79,32.59,105.95,80.92,22.33,270.34
268,England,35,1,Employed,0,Red,250,8.12,53.16,27.67,4.01,41.64,18.71,88.1
269,England,22,1,Unemployed,1,Red,250,10.89,22.27,5.84,3.4,6.96,1.82,25.38
270,England,76,0,Self-employed,1,Black,1000,178.07,72.53,396,100.86,82.16,249.77,98.4
271,England,42,1,Student,0,Black,500,13.35,99.59,27.32,22.53,76.77,17.52,93.8
272,England,33,0,Unemployed,1,Red,1000,40.23,21.4,22.44,30.99,16.49,17.28,187.61
273,England,56,0,Retired,1,Black,1000,90.75,35.17,41.41,25.68,9.95,11.72,276.79
274,England,30,0,Unemployed,1,Blue,250,0,20.71,0,0,13.18,0,15.14
275,England,62,0,Retired,1,Red,500,141.68,42.69,52.7,97.05,38.48,149.36,181.75
276,England,26,1,Employed,1,Red,500,100.91,84.46,19.75,75.93,0,31.22,63.37
277,England,32,1,Employed,1,Red,250,12.02,41.09,11.9,12.62,51.61,14.18,57.39
278,England,47,0,Self-employed,1,Black,500,16.61,20.92,40.3,20.3,25.57,20.1,32.11
279,England,46,0,Unemployed,0,Black,500,21.02,35.81,31.48,14.88,25.34,22.28,7.41
280,England,43,1,Employed,0,Black,1000,11.53,221.9,8.52,89.48,214.06,46.83,338.17
281,Scotland,36,0,Unemployed,0,Blue,1000,102.53,41.36,61.39,81.03,32.69,48.52,125.79
282,England,58,0,Employed,1,Red,500,0,8.14,0,0,28.59,0,137.68
283,England,44,0,Student,1,Black,500,66.31,20.89,2.3,101.59,37.2,76.9,147.46
284,Northern Ireland,38,0,Self-employed,1,Black,1000,72.55,34.02,19.42,35.23,16.52,9.43,103.13
286,England,32,1,Employed,1,Black,250,23.12,57.03,12.06,9.26,62.35,5.23,24.55
287,England,40,0,Employed,0,Red,250,16.15,29.72,15.92,14.83,38.3,29.8,77.74
288,England,29,1,Employed,0,Black,1000,260.2,159.27,30.98,98,181.37,0,107.79
289,England,54,0,Employed,1,Red,250,30.15,17.18,5.24,18.86,28.59,48.96,116.47
290,England,68,0,Employed,1,Red,250,1.12,31.56,41.32,12.55,40.51,0,52.62
291,Scotland,22,1,Student,1,Black,500,92.18,122.05,7.38,66.27,94.54,1.41,136.32
292,England,55,0,Retired,0,Blue,250,9.67,21.99,9.37,10.04,22.85,9.74,33.45
293,England,47,1,Student,1,Blue,250,4.37,10.62,3.76,11.43,27.79,9.84,14.55
294,England,32,1,Student,0,Red,500,36.1,111.86,26.51,33.16,0,37.38,114.9
295,England,77,0,Retired,1,Red,250,19.51,10.76,27.62,24.82,24.05,42.65,132.4
296,England,37,1,Employed,1,Red,500,9.79,152.03,6.07,34.37,126.94,32.04,263.62
297,England,18,0,Student,1,Red,500,13.1,63.12,0,100.03,71.64,0,157.52
